hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11764,Masculino,Varón,No especificado,25-29,Si,victima
11765,Masculino,Varón,No especificado,40-44,Si,victima
11765,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11766,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11766,Masculino,Varón,No especificado,30-34,Si,victima
11767,Masculino,Varón,No especificado,30-34,Si,victima
11767,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11768,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11768,Masculino,Varón,No especificado,30-34,Si,victima
11769,Masculino,Varón,No especificado,55-59,Si,victima
11769,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11770,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11770,Femenino,Mujer,No especificado,25-29,Si,victima
11771,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11771,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11771,Masculino,Varón,No especificado,25-29,Si,victima
11772,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11772,Masculino,Varón,No especificado,15-19,No,victima
11773,Masculino,Varón,No especificado,20-24,Si,victima
11773,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11774,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11774,Femenino,Mujer,No especificado,50-54,Si,victima
11775,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11775,Masculino,Varón,No especificado,25-29,Si,victima
11776,Femenino,Mujer,No especificado,20-24,Si,victima
11776,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11777,Masculino,Varón,No especificado,25-29,Si,victima
11777,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11778,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11778,Masculino,Varón,No especificado,25-29,Si,victima
11779,Femenino,Mujer,No especificado,Sin determinar,Sin determinar,victima
11779,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11780,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11780,Femenino,Mujer,No especificado,15-19,No,victima
11780,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11781,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11781,Masculino,Varón,No especificado,45-49,Si,victima
11782,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11782,Masculino,Varón,No especificado,15-19,Si,victima
11783,Masculino,Varón,No especificado,20-24,Si,victima
11783,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11784,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11784,Femenino,Mujer,No especificado,35-39,Si,victima
11792,Masculino,Varón,No especificado,25-29,Si,victima
