id_hecho,localidad_id,anio,mes,fecha_hecho,hora_hecho,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,motivo_origen_registro,motivo_origen_registro_otro
16239,270.0,2018,11,2018-11-29,00:15:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16240,270.0,2018,11,2018-11-29,00:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16241,270.0,2018,11,2018-11-29,20:35:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16242,200.0,2018,11,2018-11-07,11:20:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16243,30.0,2018,11,2018-11-07,01:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16244,130.0,2018,11,2018-11-14,11:05:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16275,160.0,2018,9,2018-09-12,00:00:21,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16276,10.0,2018,11,2018-11-28,23:30:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16277,20.0,2018,12,2018-12-22,02:16:00,Comercio,No especificado,Comercio,Denuncia particular,No especificado
16278,50.0,2018,12,2018-12-25,07:25:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16279,50.0,2018,12,2018-12-28,15:55:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16280,70.0,2018,11,2018-11-09,22:17:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16281,70.0,2018,11,2018-11-13,05:25:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16282,30.0,2018,12,2018-12-31,05:10:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16283,20.0,2018,12,2018-12-30,22:00:00,Comercio,No especificado,Comercio,Intervención policial,No especificado
16285,30.0,2018,12,2018-12-23,07:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16286,10.0,2018,7,2018-07-30,19:30:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16287,10.0,2018,10,2018-10-07,22:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16288,30.0,2018,6,2018-06-21,12:30:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16289,30.0,2018,6,2018-06-18,07:50:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16290,20.0,2018,11,2018-11-06,20:50:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16291,30.0,2018,8,2018-08-31,15:50:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16292,50.0,2018,7,2018-07-09,20:45:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16293,30.0,2018,9,2018-09-23,12:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16294,30.0,2018,9,2018-09-16,03:15:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16295,10.0,2018,10,2018-10-03,22:25:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16296,20.0,2018,9,2018-09-10,17:40:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16297,20.0,2018,8,2018-08-13,19:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16298,20.0,2018,8,2018-08-25,03:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16299,10.0,2018,2,2018-02-01,07:30:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16300,30.0,2018,12,2018-12-09,22:15:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16301,30.0,2018,12,2018-12-14,23:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16302,370.0,2018,10,2018-10-10,12:18:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16303,60.0,2018,10,2018-10-23,02:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16305,450.0,2018,11,2018-11-24,14:41:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16306,450.0,2018,11,2018-11-25,06:33:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16307,400.0,2018,11,2018-11-18,04:10:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16308,20.0,2018,12,2018-12-08,04:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16309,20.0,2018,12,2018-12-14,04:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16310,40.0,2018,12,2018-12-21,06:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16311,10.0,2018,12,2018-12-08,08:50:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16312,30.0,2018,11,2018-11-19,00:20:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16313,40.0,2018,11,2018-11-22,21:45:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16314,30.0,2018,11,2018-11-04,21:00:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16315,30.0,2018,11,2018-11-18,22:40:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16319,140.0,2018,10,2018-10-30,13:30:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16320,50.0,2018,10,2018-10-29,10:20:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16321,60.0,2018,10,2018-10-12,18:00:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16322,40.0,2018,12,2018-12-01,21:25:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16323,70.0,2018,12,2018-12-26,20:55:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16324,60.0,2018,11,2018-11-30,18:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16325,160.0,2018,11,2018-11-17,18:30:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16326,160.0,2018,11,2018-11-14,11:11:11,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16327,160.0,2018,11,2018-11-04,16:30:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16328,160.0,2018,11,2018-11-05,02:20:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16331,20.0,2018,12,2018-12-03,21:10:00,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16332,60.0,2018,10,2018-10-20,16:35:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16333,10.0,2018,12,2018-12-20,12:00:00,Domicilio particular,No especificado,Domicilio particular,Intervención policial,No especificado
16335,60.0,2018,11,2018-11-11,15:00:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16336,60.0,2018,11,2018-11-07,07:00:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16337,100.0,2018,11,2018-11-07,21:25:00,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16338,20.0,2018,11,2018-11-18,21:00:00,Otro lugar,No especificado,Campo/descampado/zona rural,Denuncia particular,No especificado
16339,60.0,2018,11,2018-11-29,09:20:00,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
